a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alacritty-themes 3.1.0-1
alsa-card-profiles 1:0.3.34-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
aom 3.1.2-2
apparmor 3.0.3-1
appstream 0.14.5-2
appstream-glib 0.7.18-2
arandr 0.1.10-6
arc-darkest-theme-git r172.c8bdaead59-1
arc-gtk-theme 20210412-1
arc-icon-theme 20161122-3
arch-install-scripts 24-2
archiso 58-1
archlinux-appstream-data-pamac 20210723-1
archlinux-keyring 20210820-1
arcolinux-alacritty-git 21.07-01
arcolinux-arc-kde 20180614-4
arcolinux-arc-themes-git 21.07-01
arcolinux-betterlockscreen-git 21.08-03
arcolinux-bin-git 21.08-01
arcolinux-candy-beauty-git 21.07-19
arcolinux-config-all-desktops-git 21.07-01
arcolinux-conky-collection-git 21.08-03
arcolinux-dconf-all-desktops-git 21.07-01
arcolinux-desktop-trasher-git 21.08-51
arcolinux-fonts-git 21.07-01
arcolinux-grub-theme-vimix-git 20200928-1
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-hblock-git 3.2.2-1
arcolinux-i3wm-git 21.07-01
arcolinux-keyring 20230919-6
arcolinux-kvantum-git 21.07-01
arcolinux-kvantum-theme-arc-git 21.07-01
arcolinux-local-applications-git 21.07-01
arcolinux-local-xfce4-git 21.07-01
arcolinux-logout-git 21.08-03
arcolinux-logout-themes-git 21.08-01
arcolinux-meta-fun 21.08-01
arcolinux-meta-logout 21.07-01
arcolinux-meta-samba 21.07-01
arcolinux-meta-sddm-themes 21.08-02
arcolinux-meta-steam 21.07-01
arcolinux-meta-utilities 21.07-01
arcolinux-mirrorlist-git 21.08-01
arcolinux-neofetch-git 21.07-01
arcolinux-nitrogen-git 21.07-01
arcolinux-paleofetch-git 21.07-01
arcolinux-paru-git 21.07-01
arcolinux-pipemenus-git 21.07-01
arcolinux-polybar-git 21.07-01
arcolinux-qt5-git 21.07-01
arcolinux-reflector-simple-git 21.07-01
arcolinux-rofi-git 21.07-01
arcolinux-rofi-themes-git 21.07-01
arcolinux-root-git 21.08-11
arcolinux-sddm-chili-git 21.07-01
arcolinux-sddm-fralonra-git 21.07-01
arcolinux-sddm-futuristic-git 21.07-01
arcolinux-sddm-materia-git 21.08-01
arcolinux-sddm-redrock-git 21.07-01
arcolinux-sddm-slice-git 21.08-01
arcolinux-sddm-sugar-candy-git 21.07-02
arcolinux-sddm-urbanlifestyle-git 21.07-01
arcolinux-system-config-git 21.08-21
arcolinux-systemd-services-git 21.08-05
arcolinux-teamviewer 15.19.3-1
arcolinux-tellme-git 21.07-02
arcolinux-termite-themes-git 21.07-01
arcolinux-tweak-tool-git 21.08-64
arcolinux-variety-autostart-git 21.07-01
arcolinux-variety-git 21.07-01
arcolinux-volumeicon-git 21.07-01
arcolinux-wallpapers-git 21.07-01
arcolinux-welcome-app-git 21.08-05
arcolinux-xfce-git 21.08-01
arcolinux-zsh-git 21.08-12
argon2 20190702-3
asciinema 2.0.2-5
asciiquarium 1.1-6
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attica 5.85.0-1
attr 2.5.1-1
audit 3.0.4-1
autoconf 2.71-1
automake 1.16.4-1
autorandr 1.11-2
autotiling 1.5-1
avahi 0.8+22+gfd482a7-1
awesome-terminal-fonts 1.1.0-4
ayu-theme 21.07-01
babl 0.1.86-1
base 2-2
base16-alacritty-git r19.914727e-1
bash 5.1.008-1
bash-completion 2.11-2
bash-pipes 1.3.0-9
bashtop 0.9.25-1
bc 1.07.1-4
betterlockscreen-git r178.219e8da-1
bibata-cursor-theme-bin 1.1.2-1
bind 9.16.20-1
binutils 2.36.1-3
bison 3.7.6-1
blas 3.10.0-1
blueberry 1.4.4-1
bluez 5.61-1
bluez-libs 5.61-1
bluez-tools 0.2.0-5
bluez-utils 5.61-1
boost-libs 1.76.0-1
box2d 2.4.1-1
boxes 2.1.1-1
